SMILES,COc1cccc(F)c1C(=O)N1CCOC(C#N)C1,Druglikeness 
Cc1cc(OCC(=O)NN=CC=Cc2ccccc2)cc(C)c1Cl,Cc1cc(OCC(=O)NN=CC=Cc2ccccc2)cc(C)c1Cl,4.2437
CCc1nn(C)cc1CNC(=O)N1CCCC(C)C1C,CCc1nn(C)cc1CNC(=O)N1CCCC(C)C1C,6.4165
CC(CC1CCCC[NH2+]1)[NH2+]CCc1nnc2ccccn12,CC(CC1CCCC[NH2+]1)[NH2+]CCc1nnc2ccccn12,-0.57693
COC(=O)C1(NCC(C)C)CCCSC1C,COC(=O)C1(NCC(C)C)CCCSC1C,-0.66234
CCN1CC(C(=O)Nc2nc(C)c(Cc3ccc(F)cc3)s2)CC1=O,CCN1CC(C(=O)Nc2nc(C)c(Cc3ccc(F)cc3)s2)CC1=O,6.8138
COc1ccc(-c2sc(C(=O)[O-])cc2C)c(OC)c1,COc1ccc(-c2sc(C(=O)[O-])cc2C)c(OC)c1,1.5745
COC1(C)CC(NC(=O)C(=O)Nc2cc(C(C)(C)C)on2)C1(C)C,COC1(C)CC(NC(=O)C(=O)Nc2cc(C(C)(C)C)on2)C1(C)C,-0.75972
COc1ccc(C2NC(=O)NC(C)=C2C(=O)OC2CCCC(C)C2)cc1Br,COc1ccc(C2NC(=O)NC(C)=C2C(=O)OC2CCCC(C)C2)cc1Br,-1.251
Cc1cccc(NC(=O)C(C#N)=C2SC(C)C(=O)N2c2ccc(C(C)C)cc2)c1,Cc1cccc(NC(=O)C(C#N)=C2SC(C)C(=O)N2c2ccc(C(C)C)cc2)c1,1.0759
N#CC(Nc1cccc2ccccc12)c1ccccc1,N#CC(Nc1cccc2ccccc12)c1ccccc1,-4.2966
CC1=C(C(N)=O)C(c2ccc(C#N)cc2)N2NC(c3ccccc3)=NC2=N1,CC1=C(C(N)=O)C(c2ccc(C#N)cc2)N2NC(c3ccccc3)=NC2=N1,0.15207
Cc1ccccc1N1CC[NH+](C2CCCN(C(=O)CCc3c(C)noc3C)C2)CC1,Cc1ccccc1N1CC[NH+](C2CCCN(C(=O)CCc3c(C)noc3C)C2)CC1,2.5303
COc1cccc2cc(C(=O)C=Cc3ccccc3F)oc12,COc1cccc2cc(C(=O)C=Cc3ccccc3F)oc12,-0.37428
Cc1ccc(C(=O)N2CCCC(c3nccnc3Oc3cccnc3C)C2)cn1,Cc1ccc(C(=O)N2CCCC(c3nccnc3Oc3cccnc3C)C2)cn1,3.2005
COc1ccccc1S(=O)(=O)NC(C)c1cc2ccccc2o1,COc1ccccc1S(=O)(=O)NC(C)c1cc2ccccc2o1,3.5717
Cc1sc2nc(SCC(=O)Nc3ccc(OC(F)F)cc3)n(C)c(=O)c2c1C,Cc1sc2nc(SCC(=O)Nc3ccc(OC(F)F)cc3)n(C)c(=O)c2c1C,0.57265
CC#CC[NH+]1CCC(OCc2ccc(F)cc2)CC1,CC#CC[NH+]1CCC(OCc2ccc(F)cc2)CC1,-5.2904
CCn1cc(-c2c(-c3ccccc3)ncn2Cc2ccc3nonc3c2)c(C)n1,CCn1cc(-c2c(-c3ccccc3)ncn2Cc2ccc3nonc3c2)c(C)n1,6.5603
CC(NC(=O)Cn1nnc(-c2ccsc2)n1)c1ccc(Cl)cc1,CC(NC(=O)Cn1nnc(-c2ccsc2)n1)c1ccc(Cl)cc1,0.93329
CCn1ccnc1C=CC(=O)NC1C(C)C(OC)C1(CC)CC,CCn1ccnc1C=CC(=O)NC1C(C)C(OC)C1(CC)CC,3.6564
CC1(C)NC(=O)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,CC1(C)NC(=O)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,-2.295
Cc1cccc(COC(=O)Cn2c(=O)sc3cccc(Cl)c32)c1,Cc1cccc(COC(=O)Cn2c(=O)sc3cccc(Cl)c32)c1,1.0516
C=CCOc1ccc(N)c([N+](=O)[O-])c1,C=CCOc1ccc(N)c([N+](=O)[O-])c1,-12.463
Cn1cc(-c2nc(-c3cccc(Br)c3)no2)c(=O)c2cc(F)c(N3CCOCC3)cc21,Cn1cc(-c2nc(-c3cccc(Br)c3)no2)c(=O)c2cc(F)c(N3CCOCC3)cc21,1.1244
Cc1ccc(S(=O)(=O)Nc2cccc(-c3ccc(N4CCOCC4)nn3)c2)c(C)c1,Cc1ccc(S(=O)(=O)Nc2cccc(-c3ccc(N4CCOCC4)nn3)c2)c(C)c1,-0.39176
CCS(=O)(=O)CCN(C)C(=O)CCc1cccc(F)c1,CCS(=O)(=O)CCN(C)C(=O)CCc1cccc(F)c1,-1.9211
CCCN1C(=O)c2ccccc2NC1c1cccc(OCC(C)C)c1,CCCN1C(=O)c2ccccc2NC1c1cccc(OCC(C)C)c1,3.0653
CC1CN(C(=O)OC(C)(C)C)CCN1c1cnc2cc([N+](=O)[O-])ccc2n1,CC1CN(C(=O)OC(C)(C)C)CCN1c1cnc2cc([N+](=O)[O-])ccc2n1,-35.499
COC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)c1C,COC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)c1C,3.8586
CC(CNC(=O)c1ccn(-c2ccccc2F)n1)c1ccsc1,CC(CNC(=O)c1ccn(-c2ccccc2F)n1)c1ccsc1,5.1963
Cc1c(NC2=CC(=O)CC(C)(C)C2)c(=O)n(-c2ccccc2)n1C,Cc1c(NC2=CC(=O)CC(C)(C)C2)c(=O)n(-c2ccccc2)n1C,3.5409
CC(=O)C1=C(C)C(C(=O)OCC(=O)Nc2cccc(F)c2)=NC1C,CC(=O)C1=C(C)C(C(=O)OCC(=O)Nc2cccc(F)c2)=NC1C,2.6683
CC(C)NC(=O)Nc1nc2c(s1)CN(C(=O)c1ccc(F)cc1)CC2,CC(C)NC(=O)Nc1nc2c(s1)CN(C(=O)c1ccc(F)cc1)CC2,5.2246
O=C(NCC(c1cccs1)c1c[nH]c2ccccc12)C1CCCN(c2cnccn2)C1,O=C(NCC(c1cccs1)c1c[nH]c2ccccc12)C1CCCN(c2cnccn2)C1,6.0639
Cc1ccc(CNc2ccc(CN3CCCC3=O)cc2)c(C)c1,Cc1ccc(CNc2ccc(CN3CCCC3=O)cc2)c(C)c1,3.2034
O=C(C=Cc1ccc(N2CCCC2=O)cc1)N1CCN(CCO)CC1,O=C(C=Cc1ccc(N2CCCC2=O)cc1)N1CCN(CCO)CC1,6.4654
CCCOC(=O)c1ccc(NC2CCC([NH3+])C2)cc1,CCCOC(=O)c1ccc(NC2CCC([NH3+])C2)cc1,-2.2439
CCC(C)C(NS(C)(=O)=O)C(=O)N=c1sccn1C,CCC(C)C(NS(C)(=O)=O)C(=O)N=c1sccn1C,6.8782
COCC(C)Nc1ccc(S(C)(=O)=O)cc1N,COCC(C)Nc1ccc(S(C)(=O)=O)cc1N,0.24907
CN(Cc1c(F)cccc1Cl)C(=O)C(=O)Nc1ccc2c(c1)COC2,CN(Cc1c(F)cccc1Cl)C(=O)C(=O)Nc1ccc2c(c1)COC2,0.23167
CC(C)NC(=O)C1CCN(c2ccc(C#N)cc2C(F)(F)F)CC1,CC(C)NC(=O)C1CCN(c2ccc(C#N)cc2C(F)(F)F)CC1,-4.4605
Cc1ccc(-c2nc(CCNC(=O)N3CCCC4CCCC43)co2)cc1,Cc1ccc(-c2nc(CCNC(=O)N3CCCC4CCCC43)co2)cc1,1.9051
CN(C(=O)c1cccc(OC(F)F)c1)C1CCCCC1S(C)(=O)=O,CN(C(=O)c1cccc(OC(F)F)c1)C1CCCCC1S(C)(=O)=O,-4.7597
CCCn1ncc(C(=O)NCc2nc(C3CCCCC3)no2)c1C,CCCn1ncc(C(=O)NCc2nc(C3CCCCC3)no2)c1C,2.4741
Cc1ccc(Oc2ncccc2CNC(=O)CCC(=O)N(C)C)cn1,Cc1ccc(Oc2ncccc2CNC(=O)CCC(=O)N(C)C)cn1,2.2717
Cc1ccc(C(=O)NC(C)c2nnc(SCC(=O)NC3CCCC3)n2C)cc1,Cc1ccc(C(=O)NC(C)c2nnc(SCC(=O)NC3CCCC3)n2C)cc1,3.2733
Cc1ccc(C(=O)NCCNC(=O)N(CC2CC2C)C(C)C)cc1,Cc1ccc(C(=O)NCCNC(=O)N(CC2CC2C)C(C)C)cc1,5.1527
CC(O)(CNC(=O)C(=O)Nc1cccc2cccnc12)c1ccsc1,CC(O)(CNC(=O)C(=O)Nc1cccc2cccnc12)c1ccsc1,3.5602
CC1CCCC([NH+](C)CCC(=O)NC(N)=O)C1,CC1CCCC([NH+](C)CCC(=O)NC(N)=O)C1,-0.42629
CC[NH2+]C1C(Sc2ccc(C)c(C)c2)CCC1(C)C,CC[NH2+]C1C(Sc2ccc(C)c(C)c2)CCC1(C)C,-1.2066
O=C(NCCOCc1ccccc1)NCC1CN2CCCCC2CO1,O=C(NCCOCc1ccccc1)NCC1CN2CCCCC2CO1,-0.53281
CCOc1cc(NC(=O)c2cccnc2Cl)ccc1OC,CCOc1cc(NC(=O)c2cccnc2Cl)ccc1OC,-0.61524
CCCC1CN(C(=O)C(C)OC)CCO1,CCCC1CN(C(=O)C(C)OC)CCO1,3.1965
COc1ccc(-n2nnnc2CNC(=O)Nc2ccccc2Cl)cc1,COc1ccc(-n2nnnc2CNC(=O)Nc2ccccc2Cl)cc1,1.5217
O=C(NCN1C(=O)C2C3C=CC(CC3)C2C1=O)Nc1ccccn1,O=C(NCN1C(=O)C2C3C=CC(CC3)C2C1=O)Nc1ccccn1,2.9818
O=C(CN1CCN(c2ncccn2)CC1)NCCC1COc2ccccc2O1,O=C(CN1CCN(c2ncccn2)CC1)NCCC1COc2ccccc2O1,6.7926
CCN(C(=O)c1cc2c([nH]c1=O)CCCC2=O)C1CCCCC1C,CCN(C(=O)c1cc2c([nH]c1=O)CCCC2=O)C1CCCCC1C,-0.083194
CCOc1cc(C=C2SC(=S)N=C2[O-])ccc1O,CCOc1cc(C=C2SC(=S)N=C2[O-])ccc1O,-0.61375
CCCc1nc(C(=O)N2CC3(C)CC2CC(C)(C)C3)n[nH]1,CCCc1nc(C(=O)N2CC3(C)CC2CC(C)(C)C3)n[nH]1,0.9156
Cc1noc(C)c1C(C)NC(=O)N1CCN(c2ccc(Cl)cn2)CC1,Cc1noc(C)c1C(C)NC(=O)N1CCN(c2ccc(Cl)cn2)CC1,6.4437
COc1cc(CC(=O)NC2CC2C)ccc1C,COc1cc(CC(=O)NC2CC2C)ccc1C,2.7027
CCOc1ccc(C(F)(F)F)cc1NC(=O)c1cc(C)n[nH]1,CCOc1ccc(C(F)(F)F)cc1NC(=O)c1cc(C)n[nH]1,-4.6283
CNC([O-])=C(C#N)C(=O)CCn1nnc2ccccc2c1=O,CNC([O-])=C(C#N)C(=O)CCn1nnc2ccccc2c1=O,-4.2677
CCCOC1CCCN(C(=O)Nc2ccc3c(c2)OCCCO3)C1,CCCOC1CCCN(C(=O)Nc2ccc3c(c2)OCCCO3)C1,2.9621
COc1ccc(Nc2nnc(SC(C(=O)N3CCCC3)C(C)C)s2)cc1,COc1ccc(Nc2nnc(SC(C(=O)N3CCCC3)C(C)C)s2)cc1,6.7203
Fc1ccccc1OCCCNc1nnnn1-c1ccccc1,Fc1ccccc1OCCCNc1nnnn1-c1ccccc1,-0.6235
OC1(C2CCOC3(CCCC3)C2)CC2CCC(C1)[NH2+]2,OC1(C2CCOC3(CCCC3)C2)CC2CCC(C1)[NH2+]2,-2.4315
CCCC(=O)NCC1CCC[NH+](Cc2c(OC)ccc3ccccc23)C1,CCCC(=O)NCC1CCC[NH+](Cc2c(OC)ccc3ccccc23)C1,-1.0544
CN(CCOc1ccc(CC#N)cc1)Cc1ccc(Cl)nc1,CN(CCOc1ccc(CC#N)cc1)Cc1ccc(Cl)nc1,-2.9124
Cc1cc(C(=O)NC(C)c2ccc(Cl)c(Cl)c2)no1,Cc1cc(C(=O)NC(C)c2ccc(Cl)c(Cl)c2)no1,3.2383
N#Cc1ccc(S(=O)(=O)NC(CN2CCOCC2)c2ccccc2)cc1,N#Cc1ccc(S(=O)(=O)NC(CN2CCOCC2)c2ccccc2)cc1,-2.2926
O=[N+]([O-])c1cc(F)ccc1NC(=S)NCc1ccco1,O=[N+]([O-])c1cc(F)ccc1NC(=S)NCc1ccco1,-6.3105
COc1ccc(-c2nn(-c3ccccc3)cc2C=C(C#N)C(=O)c2ccccc2)cc1OC,COc1ccc(-c2nn(-c3ccccc3)cc2C=C(C#N)C(=O)c2ccccc2)cc1OC,-1.2031
Cc1cc(Cl)c(S(=O)(=O)NC2CCC(C)C2C)cc1N,Cc1cc(Cl)c(S(=O)(=O)NC2CCC(C)C2C)cc1N,-0.53243
O=C(CCCc1cc(F)ccc1F)NOC1CCCCO1,O=C(CCCc1cc(F)ccc1F)NOC1CCCCO1,-7.9293
CCCNC(=O)Nc1ccccc1C(=O)OC,CCCNC(=O)Nc1ccccc1C(=O)OC,-0.86885
Cc1c(F)cccc1NC(=O)N(C)CC(C)c1ccccc1,Cc1c(F)cccc1NC(=O)N(C)CC(C)c1ccccc1,1.4774
Cc1cc(C(=O)N2CCCC2)ccc1NC(=O)c1cccc2cc[nH]c12,Cc1cc(C(=O)N2CCCC2)ccc1NC(=O)c1cccc2cc[nH]c12,4.1043
CCn1c(=O)c(=O)[nH]c2cc(C(=O)OCc3c(C)noc3C)ccc21,CCn1c(=O)c(=O)[nH]c2cc(C(=O)OCc3c(C)noc3C)ccc21,1.9059
CCCCOc1ccccc1NC(=O)N1CC2CCC[NH+]2CC1C,CCCCOc1ccccc1NC(=O)N1CC2CCC[NH+]2CC1C,-1.9099
O=C(NCCCn1cc[nH+]c1)NCc1cc(=O)[nH]c2ccccc12,O=C(NCCCn1cc[nH+]c1)NCc1cc(=O)[nH]c2ccccc12,2.8903
CCC(O)(CC)CNC(=O)c1cccc(-c2nnc(C)o2)c1,CCC(O)(CC)CNC(=O)c1cccc(-c2nnc(C)o2)c1,4.4419
O=c1ccc2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2o1,O=c1ccc2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2o1,-8.4048
COC(=O)c1ccc(CN(C)C(=O)N2C(C)CCCC2C)cc1,COC(=O)c1ccc(CN(C)C(=O)N2C(C)CCCC2C)cc1,-1.6156
C=CCN1C(=O)C(=Cc2c(NC(CC)CO)nc3ccccn3c2=O)SC1=S,C=CCN1C(=O)C(=Cc2c(NC(CC)CO)nc3ccccn3c2=O)SC1=S,3.8316
Cc1cc2oc3c(c(=O)c2cc1C)C(c1cccc(O)c1)N(CCN1CCOCC1)C3=O,Cc1cc2oc3c(c(=O)c2cc1C)C(c1cccc(O)c1)N(CCN1CCOCC1)C3=O,4.1925
COC(=O)c1ccc(C)c(NC2CSC(C)C2)c1,COC(=O)c1ccc(C)c(NC2CSC(C)C2)c1,0.6229
CC1CCCC(N2CCN(C(=O)COc3ccc4ccccc4c3)CC2)C1,CC1CCCC(N2CCN(C(=O)COc3ccc4ccccc4c3)CC2)C1,3.8296
Cc1ccccc1C(C)(C)CNC(=O)NCC(c1ccco1)[NH+](C)C,Cc1ccccc1C(C)(C)CNC(=O)NCC(c1ccco1)[NH+](C)C,0.57537
CONS(=O)(=O)c1ccc(C(=O)NC2CC2c2cccc(F)c2)cc1,CONS(=O)(=O)c1ccc(C(=O)NC2CC2c2cccc(F)c2)cc1,1.9033
Cc1cc(CN(C)C(=O)NCC(C(C)C)N2CCOCC2)no1,Cc1cc(CN(C)C(=O)NCC(C(C)C)N2CCOCC2)no1,1.9362
CN(Cc1cccc(F)c1)C(=O)NC(CS(C)(=O)=O)c1ccccc1,CN(Cc1cccc(F)c1)C(=O)NC(CS(C)(=O)=O)c1ccccc1,-1.9821
CCC(NC(=O)Nc1ccc2c(c1)CCC(=O)N2)c1ccc(OC)cc1,CCC(NC(=O)Nc1ccc2c(c1)CCC(=O)N2)c1ccc(OC)cc1,1.5012
CNC(=O)c1cc(NC(=O)NC(c2nc3ccccc3[nH]2)C(C)C)ccc1F,CNC(=O)c1cc(NC(=O)NC(c2nc3ccccc3[nH]2)C(C)C)ccc1F,1.2149
O=C(Nc1ccc2c(c1)COC2)C(c1ccccc1)c1ccccc1,O=C(Nc1ccc2c(c1)COC2)C(c1ccccc1)c1ccccc1,0.26846
[NH3+]C1(CO)CCCC1CCOc1cccc2cccnc12,[NH3+]C1(CO)CCCC1CCOc1cccc2cccnc12,-8.5561
CCC(C(=O)[O-])N1CCN(Cc2cccc(C)c2)C(=O)C1=O,CCC(C(=O)[O-])N1CCN(Cc2cccc(C)c2)C(=O)C1=O,3.9867
Cc1nonc1OCC[NH2+]Cc1c(C(=O)N(C)C)nc2ccc(Cl)cn12,Cc1nonc1OCC[NH2+]Cc1c(C(=O)N(C)C)nc2ccc(Cl)cn12,4.8382
O=C(Cc1ccc(Cl)cc1)NCC(O)(c1ccccc1)C(F)(F)F,O=C(Cc1ccc(Cl)cc1)NCC(O)(c1ccccc1)C(F)(F)F,-7.7738
Nn1c(SCC(=O)NCC2CCCO2)nnc1-c1ccco1,Nn1c(SCC(=O)NCC2CCCO2)nnc1-c1ccco1,0.64145
CC(=O)Oc1ccc(C2=NN(C(C)=O)C(c3ccc(F)cc3)O2)c(OC(C)=O)c1,CC(=O)Oc1ccc(C2=NN(C(C)=O)C(c3ccc(F)cc3)O2)c(OC(C)=O)c1,1.2994
O=c1[nH]nc(C[NH+]2CCCCCC2c2ccco2)[nH]1,O=c1[nH]nc(C[NH+]2CCCCCC2c2ccco2)[nH]1,-2.1262
CC(=O)Cc1nsc(N=C([O-])C=C2SC(=O)NC2=O)n1,CC(=O)Cc1nsc(N=C([O-])C=C2SC(=O)NC2=O)n1,2.2456
COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4ccc5c(c4)OCO5)c(Cl)c3N2)cc1,COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4ccc5c(c4)OCO5)c(Cl)c3N2)cc1,-1.6552
COc1ccc(-c2cc(N3CCN(C(=O)C(C)C)CC3)ncn2)cc1,COc1ccc(-c2cc(N3CCN(C(=O)C(C)C)CC3)ncn2)cc1,6.3522
O=C(Nc1ccc(Cl)cc1)SC1=[NH+]CCN1,O=C(Nc1ccc(Cl)cc1)SC1=[NH+]CCN1,0.43488
C[NH+](C)CCN1C(=O)C(=O)C(=C(O)c2cc3ccccc3o2)C1c1ccccn1,C[NH+](C)CCN1C(=O)C(=O)C(=C(O)c2cc3ccccc3o2)C1c1ccccn1,0.37984
O=C(Nc1ccccc1-c1nc2ccccc2[nH]1)c1cc[n+]([O-])cc1,O=C(Nc1ccccc1-c1nc2ccccc2[nH]1)c1cc[n+]([O-])cc1,-0.41345
COC(=O)C1(N(C)C(=O)C2CC=CCC2)CCCCC1,COC(=O)C1(N(C)C(=O)C2CC=CCC2)CCCCC1,-6.7067
CN(C1CCOCC1)C1CCC[NH+](CCc2ccccc2)C1,CN(C1CCOCC1)C1CCC[NH+](CCc2ccccc2)C1,-3.1572
CC(C)(C)c1ccc(C2(O)CN(c3ccccc3)C3=[N+]2CCCS3)cc1,CC(C)(C)c1ccc(C2(O)CN(c3ccccc3)C3=[N+]2CCCS3)cc1,-0.61762
C[NH2+]C1CCC(N(C)c2cncc(OC)n2)CC1,C[NH2+]C1CCC(N(C)c2cncc(OC)n2)CC1,0.64298
CN(CCn1cnnc1)C(=O)NC1CCCC1c1ccccc1C(F)(F)F,CN(CCn1cnnc1)C(=O)NC1CCCC1c1ccccc1C(F)(F)F,-4.9748
O=C(CN1CC[NH+](Cc2nc3sc(-c4ccccc4)cc3c(=O)[nH]2)CC1)Nc1ccc(F)cc1,O=C(CN1CC[NH+](Cc2nc3sc(-c4ccccc4)cc3c(=O)[nH]2)CC1)Nc1ccc(F)cc1,4.9221
CC(Oc1ccc(F)cc1Br)C(=O)NCC(C)(C)O,CC(Oc1ccc(F)cc1Br)C(=O)NCC(C)(C)O,-0.98456
CN(CC(=O)NC(C)(C)C)C(=O)CN1CCCc2cccc(F)c21,CN(CC(=O)NC(C)(C)C)C(=O)CN1CCCc2cccc(F)c21,3.4712
N#CC(NCc1ccccc1)c1ccc(C2CC2)cc1,N#CC(NCc1ccccc1)c1ccc(C2CC2)cc1,-2.8823
O=C(NC1C=CC(C(=O)[O-])C1)c1ccc(Br)cc1,O=C(NC1C=CC(C(=O)[O-])C1)c1ccc(Br)cc1,1.2989
CC(C)c1nc(CN2CCc3c(cccc3N3CCOC3=O)C2)no1,CC(C)c1nc(CN2CCc3c(cccc3N3CCOC3=O)C2)no1,0.23433
CC1Oc2ccccc2OC1C(=O)Nc1cn[nH]c1,CC1Oc2ccccc2OC1C(=O)Nc1cn[nH]c1,5.9428
CC(=O)Nc1cccc(NC(=O)COc2ccc(I)cc2)c1,CC(=O)Nc1cccc(NC(=O)COc2ccc(I)cc2)c1,1.9863
Cc1ccc(NC(=O)c2ccc(COc3ccc(F)cc3)o2)c(C)c1,Cc1ccc(NC(=O)c2ccc(COc3ccc(F)cc3)o2)c(C)c1,1.0657
CNC(Cc1ccncc1Cl)C[NH+](C)C,CNC(Cc1ccncc1Cl)C[NH+](C)C,0.73804
O=C(CCC1CCCC1)N1CCN(S(=O)(=O)CCC2CC2)CC1,O=C(CCC1CCCC1)N1CCN(S(=O)(=O)CCC2CC2)CC1,1.4796
Cc1ccc(C2CCCC[NH+]2CC2=CCCOC2)cc1,Cc1ccc(C2CCCC[NH+]2CC2=CCCOC2)cc1,-7.2774
O=C(Nc1nc(-c2cccnc2)cs1)C1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1,O=C(Nc1nc(-c2cccnc2)cs1)C1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1,7.3121
Cc1n[nH]c(C)c1NC(=O)C[NH+]1CCCC1c1ccccc1,Cc1n[nH]c(C)c1NC(=O)C[NH+]1CCCC1c1ccccc1,2.6721
CC1CCC(C)[NH+](CC(=O)NC2CCCC2)C1,CC1CCC(C)[NH+](CC(=O)NC2CCCC2)C1,-2.1007
CC(C)n1ccc2ccc(C(=O)NCc3nnc4ccccn34)cc21,CC(C)n1ccc2ccc(C(=O)NCc3nnc4ccccn34)cc21,3.741
CC1[NH2+]CCCC1C(=O)NCC[NH+](C)C(C)C,CC1[NH2+]CCCC1C(=O)NCC[NH+](C)C(C)C,2.0498
CN(CCC(O)c1ccccc1)C(=O)c1cnc(-c2ccncc2)nc1,CN(CCC(O)c1ccccc1)C(=O)c1cnc(-c2ccncc2)nc1,5.5596
COc1ccccc1NC(=O)C1Cc2ccccc2CN1S(=O)(=O)c1ccc(F)cc1,COc1ccccc1NC(=O)C1Cc2ccccc2CN1S(=O)(=O)c1ccc(F)cc1,3.5312
Cc1nn(-c2ccccc2)cc1CN1CCN(C(C)C(=O)N2CCCC2)CC1,Cc1nn(-c2ccccc2)cc1CN1CCN(C(C)C(=O)N2CCCC2)CC1,9.5195
CCOc1ccc(NS(=O)(=O)c2cccnc2N2CCN(c3cc(C)ccc3C)CC2)cc1,CCOc1ccc(NS(=O)(=O)c2cccnc2N2CCN(c3cc(C)ccc3C)CC2)cc1,3.4098
CCC(=O)Nc1ccc(S(=O)(=O)NCC2(c3cccs3)CCCCC2)c(C)c1,CCC(=O)Nc1ccc(S(=O)(=O)NCC2(c3cccs3)CCCCC2)c(C)c1,-2.0769
CC1=C(C)CC(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)C(C(=O)[O-])C1,CC1=C(C)CC(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)C(C(=O)[O-])C1,-1.3863
CCc1ccc(S(=O)(=O)Nc2cc(C(=O)N3CCC[NH+](C)CC3)ccc2N2CC[NH2+]CC2)cc1,CCc1ccc(S(=O)(=O)Nc2cc(C(=O)N3CCC[NH+](C)CC3)ccc2N2CC[NH2+]CC2)cc1,5.4485
CC1C([NH3+])CCN(CC2CCCO2)C1C,CC1C([NH3+])CCN(CC2CCCO2)C1C,0.77702
CCN(C(=O)c1csc2nc(-c3ccc(C(F)(F)F)cc3)cn12)C(C)CCO,CCN(C(=O)c1csc2nc(-c3ccc(C(F)(F)F)cc3)cn12)C(C)CCO,-4.9003
CC1=CC(=NNc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])CC(C)(C)C1,CC1=CC(=NNc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])CC(C)(C)C1,-6.3494
O=c1c2ccccc2[nH]c2ccc(O)cc12,O=c1c2ccccc2[nH]c2ccc(O)cc12,-0.18434
O=C(c1cn(-c2ccc(-c3nc(C4CC4)no3)cn2)cn1)N1CCN(c2ccccc2F)CC1,O=C(c1cn(-c2ccc(-c3nc(C4CC4)no3)cn2)cn1)N1CCN(c2ccccc2F)CC1,7.8368
COc1ncccc1CNC(=O)Nc1ccc(-n2cncn2)c(F)c1,COc1ncccc1CNC(=O)Nc1ccc(-n2cncn2)c(F)c1,2.2719
O=S(=O)(Nc1nc2c(F)cc(F)cc2s1)c1ccc(F)cc1F,O=S(=O)(Nc1nc2c(F)cc(F)cc2s1)c1ccc(F)cc1F,-0.11244
CC(C)c1csc(NC(=O)Cn2nnc(-c3ccccc3)n2)n1,CC(C)c1csc(NC(=O)Cn2nnc(-c3ccccc3)n2)n1,0.17542
Cc1ccc(-n2cnnn2)cc1NC(=O)C1C=CC([NH3+])C1,Cc1ccc(-n2cnnn2)cc1NC(=O)C1C=CC([NH3+])C1,0.83762
Cc1ccccc1CN(C)C(=O)C1Cc2ccccc2CN1C(=O)c1ccco1,Cc1ccccc1CN(C)C(=O)C1Cc2ccccc2CN1C(=O)c1ccco1,6.697
COc1ccc(C(=O)Nc2nc(-c3ccc(CNC(C)=O)o3)cs2)cn1,COc1ccc(C(=O)Nc2nc(-c3ccc(CNC(C)=O)o3)cs2)cn1,5.3198
CNS(=O)(=O)c1ccc(N(C)Cc2ccc(O)cc2)c([N+](=O)[O-])c1,CNS(=O)(=O)c1ccc(N(C)Cc2ccc(O)cc2)c([N+](=O)[O-])c1,-3.8588
Cc1nn(-c2nc3c(Cl)c(Cl)ccc3s2)c(C)c1C(=O)NN,Cc1nn(-c2nc3c(Cl)c(Cl)ccc3s2)c(C)c1C(=O)NN,-0.68527
O=C(NC1CC[NH+]2CCCCC12)C(c1ccccc1)c1ccccc1,O=C(NC1CC[NH+]2CCCCC12)C(c1ccccc1)c1ccccc1,0.22911
O=C(NOC1CCCCO1)C1CC1c1ccc(F)cc1,O=C(NOC1CCCCO1)C1CC1c1ccc(F)cc1,-4.9057
O=C(Nc1cc(-c2ccco2)ccc1F)c1ccccc1F,O=C(Nc1cc(-c2ccco2)ccc1F)c1ccccc1F,-0.41858
CN1N=C(C(=O)NC2CCSc3ccc(Cl)cc32)CCC1=O,CN1N=C(C(=O)NC2CCSc3ccc(Cl)cc32)CCC1=O,5.3863
Cc1nn(C(C)C(=O)NC(C)c2ccccc2)c(C)c1[N+](=O)[O-],Cc1nn(C(C)C(=O)NC(C)c2ccccc2)c(C)c1[N+](=O)[O-],0.92806
CNS(=O)(=O)c1cccc(NC(=O)NC2CCCc3occc32)c1C,CNS(=O)(=O)c1cccc(NC(=O)NC2CCCc3occc32)c1C,-0.11161
COC(=O)Nc1nc(CC(=O)Nc2cccc(Cl)c2C)cs1,COC(=O)Nc1nc(CC(=O)Nc2cccc(Cl)c2C)cs1,-1.2472
COC(=O)C1CCCN(Cc2cn3cc(C)ccc3[nH+]2)C1,COC(=O)C1CCCN(Cc2cn3cc(C)ccc3[nH+]2)C1,0.96312
